"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","检查大小写切换键功能-大写锁定","0","0","1","0","0"
"","","检查句号长按弹泡功能","0","0","1","0","0"
"","","进入语言页-键盘点击Menu","0","1","0","0","0"
"","","检查长按弹泡功能","0","1","0","0","0"
"","","显示一元联想词语言确认","0","1","0","0","0"
"","","【添加语言】中被勾选语言<5-添加语言","0","1","0","0","0"
"","","检查按键点击与上屏功能","1","0","0","0","0"
"","","应用支持URL快捷键","0","1","0","0","0"
"","","简体中文支持手写键盘","0","1","0","0","0"
"","","使用外接键盘输入字符能够正常展示","0","1","0","0","0"
"","","【添加语言】中被勾选语言<5-启用单个语言","0","1","0","0","0"
"","","输入emoji，无异常","0","1","0","0","0"
"","","切换系统语言-系统语言需添加马来语","0","1","0","0","0"
"","","检查悬浮键盘模式各功能使用","0","1","0","0","0"
"","","检查键盘初始状态和基础功能","0","1","0","0","0"
"","","检查空格键功能使用","2","0","0","0","0"
"","","使用编辑键盘时，键盘功能全部置灰","0","1","0","0","0"
"","","检查长按删除键功能","1","0","0","0","0"
"","","单手键盘初始状态和基础功能检查","0","1","0","0","0"
"","","检查搜索语言逻辑及功能","0","1","0","0","0"
"","","进入语言页-键盘长按地球键","0","1","0","0","0"
"","","中文键盘检查语言切换键","0","1","0","0","0"
"","","emoji候选展示","0","1","0","0","0"
"","","麦克风权限默认禁止","0","1","0","0","0"
"","","存在多个已添加语言-停用单个语言","0","1","0","0","0"
"","","检查语言列表搜索入口","0","1","0","0","0"
"","","检查首字母大写功能","1","0","0","0","0"
"","","语言布局切换","0","1","0","0","0"
"","","语音功能入口","0","1","0","0","0"
"","","检查删除键功能","0","0","1","0","0"
"","","删除只有一种键盘布局的语言，该语言重新展示在可用语言列表中","0","1","0","0","0"
"","","进入语言页-点击输入法桌面icon","0","1","0","0","0"
"","","添加语言-同意隐私声明-连接WiFi","0","1","0","0","0"
"","","点击设置，允许麦克风权限，进入语音键盘","0","1","0","0","0"
